Query portable_operating_systems.txt(12)
RANK ID SCORE RELEVANCE_LEVEL PRECISION RECALL NDCG
61 1647 0.15825933 0 0.0655737704918 0.8 0.569670751935
62 2095 0.15825933 0 0.0645161290323 0.8 0.569670751935
63 2582 0.15825933 0 0.0634920634921 0.8 0.569670751935
64 2972 0.15825933 0 0.0625 0.8 0.569670751935
65 3006 0.15825933 0 0.0615384615385 0.8 0.569670751935
66 3050 0.15825933 0 0.0606060606061 0.8 0.569670751935
67 3105 0.15825933 0 0.0597014925373 0.8 0.569670751935
68 1069 0.14430283 0 0.0588235294118 0.8 0.569670751935
69 1755 0.14430283 0 0.0579710144928 0.8 0.569670751935
70 2796 0.14430283 0 0.0571428571429 0.8 0.569670751935
71 1517 0.12660746 0 0.056338028169 0.8 0.569670751935
72 1810 0.12660746 0 0.0555555555556 0.8 0.569670751935
73 1854 0.12660746 0 0.0547945205479 0.8 0.569670751935
74 1877 0.12660746 0 0.0540540540541 0.8 0.569670751935
75 2342 0.12660746 0 0.0533333333333 0.8 0.569670751935
76 2535 0.12660746 0 0.0526315789474 0.8 0.569670751935
77 2542 0.12660746 0 0.0519480519481 0.8 0.569670751935
78 2849 0.12660746 0 0.0512820512821 0.8 0.569670751935
79 3002 0.12660746 0 0.0506329113924 0.8 0.569670751935
80 1050 0.10307345 0 0.05 0.8 0.569670751935
81 1472 0.10203751 0 0.0493827160494 0.8 0.569670751935
82 1591 0.092191696 0 0.0487804878049 0.8 0.569670751935
83 2357 0.08926423 0 0.0481927710843 0.8 0.569670751935
84 2868 0.08926423 0 0.047619047619 0.8 0.569670751935
85 2920 0.08926423 0 0.0470588235294 0.8 0.569670751935
86 18 0.08829741 0 0.046511627907 0.8 0.569670751935
87 25 0.08829741 0 0.0459770114943 0.8 0.569670751935
88 597 0.08829741 0 0.0454545454545 0.8 0.569670751935
89 652 0.08829741 0 0.0449438202247 0.8 0.569670751935
90 1360 0.08829741 0 0.0444444444444 0.8 0.569670751935
91 1464 0.08746072 0 0.043956043956 0.8 0.569670751935
92 2311 0.08637957 0 0.0434782608696 0.8 0.569670751935
93 2407 0.08637957 0 0.0430107526882 0.8 0.569670751935
94 2345 0.08110635 0 0.0425531914894 0.8 0.569670751935
95 2583 0.07804462 0 0.0421052631579 0.8 0.569670751935
96 238 0.07726023 0 0.0416666666667 0.8 0.569670751935
97 651 0.07726023 0 0.0412371134021 0.8 0.569670751935
98 795 0.07726023 0 0.0408163265306 0.8 0.569670751935
99 1912 0.07726023 0 0.040404040404 0.8 0.569670751935
100 2690 0.0772602 0 0.04 0.8 0.569670751935
Query code_optimization_for_space_efficiency.txt(13)
RANK ID SCORE RELEVANCE_LEVEL PRECISION RECALL NDCG
1 1795 0.64332205 1 1.0 0.0909090909091 1
2 2495 0.5975083 1 1.0 0.181818181818 1.0
3 1947 0.5535952 1 1.0 0.272727272727 1.0
4 2748 0.5280349 0 0.75 0.272727272727 0.84030302838
5 2559 0.49509066 0 0.6 0.272727272727 0.738691905663
6 1886 0.44647115 0 0.5 0.272727272727 0.666318093808
7 2897 0.43843484 1 0.571428571429 0.363636363636 0.693929965378
8 2904 0.38659886 0 0.5 0.363636363636 0.644057173993
9 3080 0.38377044 0 0.444444444444 0.363636363636 0.603039939212
10 2491 0.37791464 0 0.4 0.363636363636 0.568491780511
11 2680 0.3617208 0 0.363636363636 0.363636363636 0.538848194545
12 2537 0.3568571 0 0.333333333333 0.363636363636 0.538848194545
13 3171 0.34712866 0 0.307692307692 0.363636363636 0.538848194545
14 2464 0.3463252 0 0.285714285714 0.363636363636 0.538848194545
15 1195 0.33868974 0 0.266666666667 0.363636363636 0.538848194545
16 2253 0.32735756 0 0.25 0.363636363636 0.538848194545
17 2944 0.3262091 0 0.235294117647 0.363636363636 0.538848194545
18 2929 0.31939238 0 0.222222222222 0.363636363636 0.538848194545
19 1655 0.30841082 0 0.210526315789 0.363636363636 0.538848194545
20 2716 0.28945735 0 0.2 0.363636363636 0.538848194545
21 1564 0.2743894 0 0.190476190476 0.363636363636 0.538848194545
22 2423 0.2743894 0 0.181818181818 0.363636363636 0.538848194545
23 2374 0.27298838 0 0.173913043478 0.363636363636 0.538848194545
24 3005 0.26183242 0 0.166666666667 0.363636363636 0.538848194545
25 2033 0.26124457 0 0.16 0.363636363636 0.538848194545
26 1651 0.24911705 0 0.153846153846 0.363636363636 0.538848194545
27 2611 0.24534898 0 0.148148148148 0.363636363636 0.538848194545
28 2858 0.24334013 0 0.142857142857 0.363636363636 0.538848194545
29 3053 0.24334013 0 0.137931034483 0.363636363636 0.538848194545
30 3054 0.24068221 0 0.133333333333 0.363636363636 0.538848194545
31 267 0.24038292 0 0.129032258065 0.363636363636 0.538848194545
32 230 0.23872675 0 0.125 0.363636363636 0.538848194545
33 797 0.23872675 0 0.121212121212 0.363636363636 0.538848194545
34 1064 0.23872675 0 0.117647058824 0.363636363636 0.538848194545
35 1289 0.23872675 0 0.114285714286 0.363636363636 0.538848194545
36 2856 0.23869254 0 0.111111111111 0.363636363636 0.538848194545
37 2433 0.2343761 0 0.108108108108 0.363636363636 0.538848194545
38 1234 0.23171574 0 0.105263157895 0.363636363636 0.538848194545
39 2701 0.22340249 0 0.102564102564 0.363636363636 0.538848194545
40 1901 0.22280309 0 0.1 0.363636363636 0.538848194545
41 66 0.2207178 0 0.0975609756098 0.363636363636 0.538848194545
42 1757 0.21100663 0 0.0952380952381 0.363636363636 0.538848194545
43 1542 0.21061689 0 0.093023255814 0.363636363636 0.538848194545
44 2133 0.2102991 0 0.0909090909091 0.363636363636 0.538848194545
45 1275 0.20888591 0 0.0888888888889 0.363636363636 0.538848194545
46 1414 0.20888591 0 0.0869565217391 0.363636363636 0.538848194545
47 2835 0.20701887 0 0.0851063829787 0.363636363636 0.538848194545
48 149 0.20604253 0 0.0833333333333 0.363636363636 0.538848194545
49 1670 0.20255527 0 0.0816326530612 0.363636363636 0.538848194545
50 1992 0.20255527 0 0.08 0.363636363636 0.538848194545
51 2722 0.19925252 0 0.078431372549 0.363636363636 0.538848194545
52 2745 0.19869836 0 0.0769230769231 0.363636363636 0.538848194545
53 2734 0.19712423 0 0.0754716981132 0.363636363636 0.538848194545
54 2530 0.182426 0 0.0740740740741 0.363636363636 0.538848194545
55 3129 0.17914577 0 0.0727272727273 0.363636363636 0.538848194545
56 1065 0.17904507 0 0.0714285714286 0.363636363636 0.538848194545
57 2586 0.17904507 0 0.0701754385965 0.363636363636 0.538848194545
58 48 0.17705749 0 0.0689655172414 0.363636363636 0.538848194545
59 1362 0.17705749 0 0.0677966101695 0.363636363636 0.538848194545
60 2711 0.17562622 0 0.0666666666667 0.363636363636 0.538848194545
61 2078 0.17525479 0 0.0655737704918 0.363636363636 0.538848194545
62 1807 0.17389299 1 0.0806451612903 0.454545454545 0.56914439392
63 1223 0.16849889 1 0.0952380952381 0.545454545455 0.599323592627
64 1235 0.16849351 0 0.09375 0.545454545455 0.599323592627
65 3083 0.16805974 0 0.0923076923077 0.545454545455 0.599323592627
66 1369 0.1652318 0 0.0909090909091 0.545454545455 0.599323592627
67 1204 0.15765558 0 0.089552238806 0.545454545455 0.599323592627
68 2645 0.15531684 0 0.0882352941176 0.545454545455 0.599323592627
69 2892 0.15143192 0 0.0869565217391 0.545454545455 0.599323592627
70 1708 0.14958504 0 0.0857142857143 0.545454545455 0.599323592627
71 93 0.14920422 0 0.0845070422535 0.545454545455 0.599323592627
72 2389 0.14902377 0 0.0833333333333 0.545454545455 0.599323592627
73 2863 0.14902377 0 0.0821917808219 0.545454545455 0.599323592627
74 1652 0.14447135 0 0.0810810810811 0.545454545455 0.599323592627
75 1676 0.14430216 0 0.08 0.545454545455 0.599323592627
76 2836 0.14363311 0 0.0789473684211 0.545454545455 0.599323592627
77 2524 0.1414585 0 0.0779220779221 0.545454545455 0.599323592627
78 1465 0.14062324 0 0.0769230769231 0.545454545455 0.599323592627
79 2126 0.13736168 0 0.0759493670886 0.545454545455 0.599323592627
80 1523 0.13666514 0 0.075 0.545454545455 0.599323592627
81 2230 0.13616587 0 0.0740740740741 0.545454545455 0.599323592627
82 1331 0.13049494 0 0.0731707317073 0.545454545455 0.599323592627
83 2498 0.12899466 0 0.0722891566265 0.545454545455 0.599323592627
84 794 0.12837842 0 0.0714285714286 0.545454545455 0.599323592627
85 2344 0.12832725 0 0.0705882352941 0.545454545455 0.599323592627
86 2950 0.12738773 0 0.0697674418605 0.545454545455 0.599323592627
87 124 0.12612447 0 0.0689655172414 0.545454545455 0.599323592627
88 1551 0.12612447 1 0.0795454545455 0.636363636364 0.627250123813
89 1270 0.12610741 0 0.0786516853933 0.636363636364 0.627250123813
90 1352 0.12610741 0 0.0777777777778 0.636363636364 0.627250123813
91 1429 0.12610741 0 0.0769230769231 0.636363636364 0.627250123813
92 2365 0.12610741 0 0.0760869565217 0.636363636364 0.627250123813
93 2816 0.12418647 0 0.0752688172043 0.636363636364 0.627250123813
94 2249 0.12392385 0 0.0744680851064 0.636363636364 0.627250123813
95 1030 0.123168595 0 0.0736842105263 0.636363636364 0.627250123813
96 693 0.12267449 0 0.0729166666667 0.636363636364 0.627250123813
97 1786 0.121533155 0 0.0721649484536 0.636363636364 0.627250123813
98 3175 0.121533155 0 0.0714285714286 0.636363636364 0.627250123813
99 3064 0.121411726 0 0.0707070707071 0.636363636364 0.627250123813
100 164 0.1210389 0 0.07 0.636363636364 0.627250123813
Query parallel_algorithms.txt(19)
RANK ID SCORE RELEVANCE_LEVEL PRECISION RECALL NDCG
1 2973 1.0088185 1 1.0 0.0909090909091 1
2 3075 0.9137456 1 1.0 0.181818181818 1.0
3 2557 0.8322328 0 0.666666666667 0.181818181818 0.760187533432
4 2266 0.8261164 1 0.75 0.272727272727 0.798484858099
5 3156 0.8261164 1 0.8 0.363636363636 0.822852472069
6 1601 0.76765776 1 0.833333333333 0.454545454545 0.840208614405
7 950 0.68843037 1 0.857142857143 0.545454545455 0.853431204948
8 1468 0.68843037 0 0.75 0.545454545455 0.792095049182
9 2433 0.594452 0 0.666666666667 0.545454545455 0.741649918046
10 2570 0.594452 0 0.6 0.545454545455 0.699160793524
11 2289 0.5686563 0 0.545454545455 0.545454545455 0.662703567936
12 1957 0.5663724 0 0.5 0.545454545455 0.662703567936
13 2838 0.5339811 0 0.461538461538 0.545454545455 0.662703567936
14 2692 0.48292387 0 0.428571428571 0.545454545455 0.662703567936
15 141 0.4730892 1 0.466666666667 0.636363636364 0.708875712798
16 392 0.4730892 0 0.4375 0.636363636364 0.708875712798
17 1302 0.4730892 0 0.411764705882 0.636363636364 0.708875712798
18 2114 0.47197703 0 0.388888888889 0.636363636364 0.708875712798
19 2723 0.47197703 0 0.368421052632 0.636363636364 0.708875712798
20 2182 0.41395304 0 0.35 0.636363636364 0.708875712798
21 2685 0.40970725 0 0.333333333333 0.636363636364 0.708875712798
22 2714 0.39114887 1 0.363636363636 0.727272727273 0.749326948284
23 2896 0.35849383 0 0.347826086957 0.727272727273 0.749326948284
24 1262 0.35481688 0 0.333333333333 0.727272727273 0.749326948284
25 1367 0.35481688 0 0.32 0.727272727273 0.749326948284
26 1795 0.35481688 0 0.307692307692 0.727272727273 0.749326948284
27 1828 0.35481688 0 0.296296296296 0.727272727273 0.749326948284
28 2700 0.35481688 0 0.285714285714 0.727272727273 0.749326948284
29 2007 0.3525926 0 0.275862068966 0.727272727273 0.749326948284
30 371 0.34904885 0 0.266666666667 0.727272727273 0.749326948284
31 1158 0.33452457 0 0.258064516129 0.727272727273 0.749326948284
32 2785 0.30728042 0 0.25 0.727272727273 0.749326948284
33 1796 0.29918474 0 0.242424242424 0.727272727273 0.749326948284
34 2952 0.29568073 0 0.235294117647 0.727272727273 0.749326948284
35 2895 0.292709 0 0.228571428571 0.727272727273 0.749326948284
36 1811 0.2897068 0 0.222222222222 0.727272727273 0.749326948284
37 270 0.28207406 0 0.216216216216 0.727272727273 0.749326948284
38 804 0.28207406 0 0.210526315789 0.727272727273 0.749326948284
39 1342 0.28207406 0 0.205128205128 0.727272727273 0.749326948284
40 1660 0.28207406 0 0.2 0.727272727273 0.749326948284
41 1952 0.28207406 0 0.19512195122 0.727272727273 0.749326948284
42 2325 0.28207406 0 0.190476190476 0.727272727273 0.749326948284
43 2342 0.2644649 0 0.186046511628 0.727272727273 0.749326948284
44 2851 0.2644649 0 0.181818181818 0.727272727273 0.749326948284
45 2401 0.25606704 0 0.177777777778 0.727272727273 0.749326948284
46 2865 0.25606704 0 0.173913043478 0.727272727273 0.749326948284
47 3059 0.25606704 0 0.170212765957 0.727272727273 0.749326948284
48 2080 0.2508934 0 0.166666666667 0.727272727273 0.749326948284
49 3073 0.2508934 0 0.163265306122 0.727272727273 0.749326948284
50 1374 0.2468148 0 0.16 0.727272727273 0.749326948284
51 1851 0.2468148 0 0.156862745098 0.727272727273 0.749326948284
52 1953 0.2468148 0 0.153846153846 0.727272727273 0.749326948284
53 2226 0.2468148 0 0.150943396226 0.727272727273 0.749326948284
54 2417 0.2468148 0 0.148148148148 0.727272727273 0.749326948284
55 2725 0.2468148 0 0.145454545455 0.727272727273 0.749326948284
56 2830 0.2468148 0 0.142857142857 0.727272727273 0.749326948284
57 1551 0.2442833 0 0.140350877193 0.727272727273 0.749326948284
58 1569 0.2365446 0 0.137931034483 0.727272727273 0.749326948284
59 3044 0.2365446 0 0.135593220339 0.727272727273 0.749326948284
60 2884 0.23321806 0 0.133333333333 0.727272727273 0.749326948284
61 2902 0.21591799 0 0.131147540984 0.727272727273 0.749326948284
62 2950 0.21591799 0 0.129032258065 0.727272727273 0.749326948284
63 3166 0.21591799 0 0.126984126984 0.727272727273 0.749326948284
64 1658 0.21155554 0 0.125 0.727272727273 0.749326948284
65 2025 0.21155554 0 0.123076923077 0.727272727273 0.749326948284
66 2222 0.21155554 0 0.121212121212 0.727272727273 0.749326948284
67 2362 0.21155554 0 0.119402985075 0.727272727273 0.749326948284
68 2505 0.21155554 0 0.117647058824 0.727272727273 0.749326948284
69 2863 0.21155554 0 0.115942028986 0.727272727273 0.749326948284
70 2942 0.21155554 0 0.114285714286 0.727272727273 0.749326948284
71 3061 0.21155554 0 0.112676056338 0.727272727273 0.749326948284
72 2740 0.20907786 0 0.111111111111 0.727272727273 0.749326948284
73 1008 0.20697652 0 0.109589041096 0.727272727273 0.749326948284
74 1200 0.20697652 0 0.108108108108 0.727272727273 0.749326948284
75 1380 0.20697652 0 0.106666666667 0.727272727273 0.749326948284
76 2727 0.20697652 0 0.105263157895 0.727272727273 0.749326948284
77 1747 0.20485362 0 0.103896103896 0.727272727273 0.749326948284
78 1846 0.20485362 0 0.102564102564 0.727272727273 0.749326948284
79 2175 0.20485362 0 0.101265822785 0.727272727273 0.749326948284
80 2195 0.20485362 0 0.1 0.727272727273 0.749326948284
81 1873 0.19945648 0 0.0987654320988 0.727272727273 0.749326948284
82 2272 0.19945648 0 0.0975609756098 0.727272727273 0.749326948284
83 1924 0.19710524 0 0.0963855421687 0.727272727273 0.749326948284
84 2146 0.19710524 0 0.0952380952381 0.727272727273 0.749326948284
85 2273 0.19710524 0 0.0941176470588 0.727272727273 0.749326948284
86 2283 0.19710524 0 0.093023255814 0.727272727273 0.749326948284
87 2903 0.19710524 0 0.0919540229885 0.727272727273 0.749326948284
88 3006 0.19710524 0 0.0909090909091 0.727272727273 0.749326948284
89 1392 0.18321247 0 0.0898876404494 0.727272727273 0.749326948284
90 2490 0.18321247 0 0.0888888888889 0.727272727273 0.749326948284
91 2679 0.18321247 0 0.0879120879121 0.727272727273 0.749326948284
92 2997 0.18321247 0 0.0869565217391 0.727272727273 0.749326948284
93 1341 0.17740844 0 0.0860215053763 0.727272727273 0.749326948284
94 1471 0.17740844 0 0.0851063829787 0.727272727273 0.749326948284
95 1536 0.17740844 0 0.0842105263158 0.727272727273 0.749326948284
96 1554 0.17740844 0 0.0833333333333 0.727272727273 0.749326948284
97 1603 0.17740844 0 0.0824742268041 0.727272727273 0.749326948284
98 1960 0.17740844 0 0.0816326530612 0.727272727273 0.749326948284
99 2376 0.17740844 0 0.0808080808081 0.727272727273 0.749326948284
100 2514 0.1774084 0 0.08 0.727272727273 0.749326948284
